degree,wavelength,reflectance
44,660,0.14
44,670,0.141
44,680,0.141
44,690,0.141
44,700,0.143
44,710,0.146
44,720,0.149
44,730,0.152
44,740,0.152
44,750,0.15
44,760,0.147
44,770,0.144
44,780,0.142
44,800,0.142
44,850,0.156
44,900,0.147
44,950,0.153
44,1000,0.166
44,1050,0.167
44,1100,0.154
44,1150,0.146
44,1200,0.157
44,1250,0.182
44,1300,0.191
44,1350,0.183
44,1400,0.161
44,1450,0.146
44,1500,0.146
44,1550,0.149
44,1600,0.155
44,1650,0.148
44,1700,0.126
44,1750,0.132
44,1800,0.145
44,1850,0.147
44,1900,0.137
44,1950,0.136
44,2000,0.136
44,2050,0.129
44,2100,0.124
44,2150,0.105
44,2200,0.116
44,2250,0.089
44,2300,0.054
44,2350,0.058
44,2400,0.059
44,2450,0.051
44,2500,0.06
52,380,0.175
52,390,0.167
52,400,0.159
52,410,0.152
52,420,0.149
52,430,0.147
52,440,0.144
52,450,0.142
52,460,0.14
52,470,0.14
52,480,0.141
52,490,0.142
52,500,0.142
52,510,0.141
52,520,0.14
52,530,0.142
52,540,0.145
52,550,0.148
52,560,0.148
52,570,0.146
52,580,0.145
52,590,0.145
52,600,0.146
52,610,0.148
52,620,0.15
52,630,0.151
52,640,0.152
52,650,0.152
52,660,0.154
52,670,0.156
52,680,0.16
52,690,0.164
52,700,0.166
52,710,0.166
52,720,0.164
52,730,0.16
52,740,0.157
52,750,0.156
52,760,0.155
52,770,0.156
52,780,0.159
52,800,0.166
52,850,0.175
52,900,0.149
52,950,0.165
52,1000,0.169
52,1050,0.16
52,1100,0.156
52,1150,0.166
52,1200,0.183
52,1250,0.196
52,1300,0.191
52,1350,0.172
52,1400,0.153
52,1450,0.148
52,1500,0.157
52,1550,0.165
52,1600,0.17
52,1650,0.159
52,1700,0.133
52,1750,0.136
52,1800,0.146
52,1850,0.146
52,1900,0.137
52,1950,0.139
52,2000,0.143
52,2050,0.14
52,2100,0.136
52,2150,0.116
52,2200,0.126
52,2250,0.097
52,2300,0.062
52,2350,0.068
52,2400,0.064
52,2450,0.057
52,2500,0.067
16,380,0.144
16,390,0.136
16,400,0.129
16,410,0.122
16,420,0.117
16,430,0.116
16,440,0.116
16,450,0.114
16,460,0.111
16,470,0.11
16,480,0.111
16,490,0.112
16,500,0.112
16,510,0.113
16,520,0.112
16,530,0.111
16,540,0.111
16,550,0.112
16,560,0.115
16,570,0.117
16,580,0.117
16,590,0.115
16,600,0.114
16,610,0.116
16,620,0.121
16,630,0.126
16,640,0.129
16,650,0.128
16,660,0.126
16,670,0.123
16,680,0.122
16,690,0.123
16,700,0.127
16,710,0.131
16,720,0.133
16,730,0.134
16,740,0.133
16,750,0.132
16,760,0.132
16,770,0.133
16,780,0.136
16,800,0.144
16,850,0.143
16,900,0.124
16,950,0.145
16,1000,0.147
16,1050,0.146
16,1100,0.16
16,1150,0.161
16,1200,0.148
16,1250,0.138
16,1300,0.141
16,1350,0.155
16,1400,0.166
16,1450,0.169
16,1500,0.172
16,1550,0.162
16,1600,0.147
16,1650,0.129
16,1700,0.107
16,1750,0.113
16,1800,0.129
16,1850,0.139
16,1900,0.137
16,1950,0.141
16,2000,0.144
16,2050,0.133
16,2100,0.123
16,2150,0.098
16,2200,0.102
16,2250,0.076
16,2300,0.046
16,2350,0.052
16,2400,0.053
16,2450,0.046
16,2500,0.053
20,380,0.146
20,390,0.138
20,400,0.131
20,410,0.125
20,420,0.121
20,430,0.12
20,440,0.12
20,450,0.117
20,460,0.115
20,470,0.115
20,480,0.115
20,490,0.116
20,500,0.116
20,510,0.116
20,520,0.115
20,530,0.115
20,540,0.115
20,550,0.118
20,560,0.12
20,570,0.122
20,580,0.12
20,590,0.119
20,600,0.12
20,610,0.124
20,620,0.129
20,630,0.133
20,640,0.134
20,650,0.131
20,660,0.128
20,670,0.126
20,680,0.126
20,690,0.129
20,700,0.133
20,710,0.135
20,720,0.137
20,730,0.137
20,740,0.136
20,750,0.135
20,760,0.136
20,770,0.138
20,780,0.142
20,800,0.149
20,850,0.143
20,900,0.124
20,950,0.148
20,1000,0.148
20,1050,0.15
20,1100,0.164
20,1150,0.162
20,1200,0.146
20,1250,0.139
20,1300,0.146
20,1350,0.162
20,1400,0.171
20,1450,0.172
20,1500,0.171
20,1550,0.159
20,1600,0.145
20,1650,0.129
20,1700,0.108
20,1750,0.116
20,1800,0.132
20,1850,0.143
20,1900,0.14
20,1950,0.144
20,2000,0.145
20,2050,0.133
20,2100,0.122
20,2150,0.098
20,2200,0.102
20,2250,0.077
20,2300,0.047
20,2350,0.051
20,2400,0.051
20,2450,0.046
20,2500,0.053
24,380,0.143
24,390,0.136
24,400,0.129
24,410,0.124
24,420,0.121
24,430,0.12
24,440,0.118
24,450,0.114
24,460,0.113
24,470,0.114
24,480,0.115
24,490,0.116
24,500,0.116
24,510,0.115
24,520,0.115
24,530,0.114
24,540,0.116
24,550,0.119
24,560,0.121
24,570,0.12
24,580,0.119
24,590,0.118
24,600,0.121
24,610,0.126
24,620,0.131
24,630,0.132
24,640,0.13
24,650,0.127
24,660,0.124
24,670,0.123
24,680,0.125
24,690,0.129
24,700,0.132
24,710,0.134
24,720,0.134
24,730,0.133
24,740,0.133
24,750,0.133
24,760,0.136
24,770,0.139
24,780,0.143
24,800,0.149
24,850,0.137
24,900,0.129
24,950,0.15
24,1000,0.148
24,1050,0.154
24,1100,0.167
24,1150,0.16
24,1200,0.143
24,1250,0.14
24,1300,0.152
24,1350,0.169
24,1400,0.175
24,1450,0.172
24,1500,0.168
24,1550,0.155
24,1600,0.144
24,1650,0.129
24,1700,0.11
24,1750,0.118
24,1800,0.136
24,1850,0.147
24,1900,0.143
24,1950,0.145
24,2000,0.145
24,2050,0.132
24,2100,0.121
24,2150,0.097
24,2200,0.103
24,2250,0.077
24,2300,0.046
24,2350,0.052
24,2400,0.053
24,2450,0.046
24,2500,0.054
12,380,0.143
12,390,0.136
12,400,0.13
12,410,0.123
12,420,0.118
12,430,0.116
12,440,0.117
12,450,0.116
12,460,0.113
12,470,0.111
12,480,0.112
12,490,0.113
12,500,0.114
12,510,0.114
12,520,0.114
12,530,0.114
12,540,0.112
12,550,0.113
12,560,0.115
12,570,0.118
12,580,0.119
12,590,0.118
12,600,0.116
12,610,0.117
12,620,0.121
12,630,0.126
12,640,0.13
12,650,0.132
12,660,0.13
12,670,0.127
12,680,0.124
12,690,0.124
12,700,0.127
12,710,0.131
12,720,0.134
12,730,0.136
12,740,0.136
12,750,0.135
12,760,0.134
12,770,0.134
12,780,0.136
12,800,0.144
12,850,0.148
12,900,0.12
12,950,0.143
12,1000,0.147
12,1050,0.145
12,1100,0.156
12,1150,0.161
12,1200,0.15
12,1250,0.14
12,1300,0.138
12,1350,0.15
12,1400,0.162
12,1450,0.167
12,1500,0.173
12,1550,0.164
12,1600,0.15
12,1650,0.13
12,1700,0.106
12,1750,0.112
12,1800,0.127
12,1850,0.137
12,1900,0.136
12,1950,0.14
12,2000,0.144
12,2050,0.134
12,2100,0.123
12,2150,0.099
12,2200,0.103
12,2250,0.077
12,2300,0.045
12,2350,0.051
12,2400,0.051
12,2450,0.046
12,2500,0.052
